Column1;Thématique;contenu_poste
13;éolienne;En passant, je suis météorologiste au Canada et ma spécialité est le radar météorologique.Pierre_cb 2006-7-4 16:00 TU
14;éolienne;En passant, je suis météorologiste au Canada et ma spécialité est le radar météorologique.Pierre_cb 2006-7-4 16:00 TU
15;éolienne;Pour moi non. D'une part, il y a des ajouts à faire, au niveau technique... Je pourrais y contribuer mais (et d'autre part) ça brasse pas mal en ce moment sur l'article énergie éolienne, et il risque d'y avoir des paragraphes qui vont voyager entre les deux articles... Bref, à mon avis il faut attendre que ça se calme un peu. Sam (blablabla) 11 juillet 2006 à 23:26 (CEST)[répondre]
16;éolienne;"Je me suis permis d'harmoniser les différentes notations utilisées (il y avait un mélange entre des notations du genre « kW » et « kilowatt » et des erreurs comme « kW/h » au lieu de « kWh ») et de mettre aux normes de typographie française (p. ex. espace insécable entre un chiffre et son unité ou les nombres à virgules ou les espaces pour les milliers ainsi que la forme des listes). J'ai légèrement retouché les formules mathématiques (par l'ajout d'accents). L'article devrait déjà avoir l'air un peu plus professionnel. Par contre, il faudra faire un choix :
soit on utilise des notations en toutes lettres comme « kilomètre par heure » mais si l'article doit devenir encore plus technique ça va vite devenir lourd (je trouve que vu comment il est maintenant ça serait déjà lourd, mais les avis divergeront sans doute à dessus) ;
soit on utilise les notations du système SI comme « km/h » ou « km.h



−


{\displaystyle -}

1 », ce qui allège beaucoup la lecture pour les textes techniques mais ce qui risque de déstabiliser le néophyte.
à mon avis, il est nécessaire de se décider si on veut faire des articles pour le néophyte ou des articles de qualité. Si on cherche à satisfaire le néophyte, on tombe vite dans un langage ""caca-boudin"" qui perd tout son sens. En revanche, si on considère qu'un néophyte qui se demande quelle est la signification de kWh peut aller sur wikipedia.org/wiki/kWh pour savoir de quoi il s'agit, la question se résout d'elle-même 178.195.7.227 (discuter) 26 septembre 2019 à 15:04 (CEST)[répondre]"
17;éolienne;"à mon avis, il est nécessaire de se décider si on veut faire des articles pour le néophyte ou des articles de qualité. Si on cherche à satisfaire le néophyte, on tombe vite dans un langage ""caca-boudin"" qui perd tout son sens. En revanche, si on considère qu'un néophyte qui se demande quelle est la signification de kWh peut aller sur wikipedia.org/wiki/kWh pour savoir de quoi il s'agit, la question se résout d'elle-même 178.195.7.227 (discuter) 26 septembre 2019 à 15:04 (CEST)[répondre]"
18;éolienne;"Dans l'ensemble l'article est pas trop mal. Il y a effectivement quelques passages à revoir, soit parce qu'ils ont trop l'air « traduits », soit parce que la forme induit en erreur. Je verrai ça quand j'aurais un peu de temps. Pour le débat, j'espère que ça ne partira pas en troll mais pour le fond je suis d'accord. --Sixsous 12 juillet 2006 à 00:47 (CEST)[répondre]
Je me suis permis d'ajouter une ébauche de section Histoire en piquant quelques idées sur en: et de:, mais je ne trouve pas satisfaisant la position de Histoire et Etymologie dans le plan, un avis ? --ArséniureDeGallium 3 août 2006 à 17:54 (CEST)[répondre]"
19;éolienne;Je me suis permis d'ajouter une ébauche de section Histoire en piquant quelques idées sur en: et de:, mais je ne trouve pas satisfaisant la position de Histoire et Etymologie dans le plan, un avis ? --ArséniureDeGallium 3 août 2006 à 17:54 (CEST)[répondre]
20;éolienne;Je répond avec un peu de retard mais cette question m'amuse parce qu'elle justifie ce quelle croit critiquer. Des kw*h/an plutôt que des kw ? Ben une année c'est un certain nombre d'heures donc les kw*h/an ce sont des kw*h/h (avec un facteur 365*24) et donc des kw. JGh (d) 19 avril 2009 à 01:11 (CEST)[répondre]
21;éolienne;il existe actuellement 1049 aérogénérateurs de plusieurs centaine de kW en fonctionnement en France, et plusieurs centaine de milliers dans le monde. c'est pourquoi je trouve qu'un site qui décrit un projet particulier n'est pas pertinent dans cet article. Mais peut-être que ce projet wwww.avelif.info a un interet pour une raison que je ne connais pas. dans ce cas, merci de remettre le lien dans l'article en indiquant quelle est la particularité de ce projet.--Calmos 31 août 2006 à 20:22 (CEST)[répondre]
22;éolienne;le Watt, W, qui est l'énergie de 1 W pendant une seconde : euh, ça ne veut dire du tout ! Je crois que quelque part tu as confondu watt et joule. Même remarque pour Ceci amène au tera Wh, pour 10 puissance 12 (ou 1 suivi de 12 zéro) W pendant une heure, etc. Tout ça ne veut rien dire du tout.
23;éolienne;L'abréviation de kilomètre est « km » avec un k minuscule, autrement ça voudrait dire kelvin-mètre.
24;éolienne;"Au fait, d'où sortent tes chiffres sur la consommation française et ta puissance au kilomètre carré ? Et surtout, je comprends mal le but de ton message : que veux-tu illustrer exactement ? --Sixsous 話 30 juillet 2007 à 22:19 (CEST)[répondre]
« le Watt, W, qui est l'énergie de 1 W pendant une seconde : euh, ça ne veut dire du tout ! Je crois que quelque part tu as confondu watt et joule. » Même si ok pour la précédente remarque, cependant, il ne faut pas confondre Wh et W, qui correspondent d'une part à une puissance et d'autre part à une énergie. Aussi dans toute évaluation, je conseille vivement d'utiliser d'abord d'utiliser des unités en W et leur suite, puis, au besoin de les transformer en Wh.
« L'abréviation de kilomètre est « km » avec un k minuscule, autrement ça voudrait dire kelvin-mètre. » Tout à fait ok, ici.
« Au fait, d'où sortent tes chiffres sur la consommation française et ta puissance au kilomètre carré ? Et surtout, je comprends mal le but de ton message : que veux-tu illustrer exactement ? » MW / Km2 fournie par une femer d'éolienne est donnée dans les ouvrages de référence, ainsi que sur les sites concernés. Energie électrique max. consommée en 2005, en février = 82 000 MW => L'on peut estimer la puissance fournie et donc potentiellement celle disponible ensuite sur tout un territoire ... — Le message qui précède, non signé, a été déposé par l'IP 129.184.84.11 (discuter), le 7 août 2007 à 17:18
J'apprécierais si tu pouvais ne pas éditer dans mes commentaires comme tu l'as fait ici, ça rend les discussions pour le moins difficiles à suivre. J'apprécierais encore plus particulièrement que tu ne modifies pas mes commentaires. Signer tes propres commentaires serait également un plus. Il s'agit ici de l'étiquette la plus élémentaire. J'ai perdu plus de temps à corriger la présentation de tes messages qu'à taper les miens ce qui pourrait expliquer ma mauvaise humeur actuelle.
« il ne faut pas confondre Wh et W, qui correspondent d'une part à une puissance et d'autre part à une énergie » : en l'occurrence c'est l'inverse : le Watt est une unité de puissance, le Watt-heure une unité d'énergie.
« je conseille vivement d'utiliser d'abord d'utiliser des unités en W et leur suite, puis, au besoin de les transformer en Wh » : de transformer une unité de puissance en une unité d'énergie ? Et que veut dire « et leur suite » ?
« MW / Km2 fournie par une femer d'éolienne est donnée dans les ouvrages de référence, ainsi que sur les sites concernés » Mouais... jolie façon de détourner le but de ma question et de donner l'illusion de répondre à une question sans y répondre. Je vais donc être plus pointilleux : quelle ferme ? quels ouvrages de référence ? quels sites concernés ? Nota : pour la deuxième fois, l'abréviation du préfixe « kilo » s'écrit en minuscules.
« Energie électrique max. consommée en 2005, en février = 82 000 MW » Hein ??? Le mégawatt est une unité de puissance et pas d'énergie donc le chiffre en lui-même ne veut rien dire. Et la façon dont tu donnes ce chiffre est pour le moins suspecte : s'agit-il du seul mois de février 2005 ? Où as-tu trouvé ce chiffre ? D'après le ministère des Finances et de l'Emploi, la production d'énergie électrique totale pour la France pour l'année 2006 était de 575 TWh (ce qui requiert une puissance d'environ 66 GW). --Sixsous 話 7 août 2007 à 19:22 (CEST)[répondre]"
25;éolienne;« le Watt, W, qui est l'énergie de 1 W pendant une seconde : euh, ça ne veut dire du tout ! Je crois que quelque part tu as confondu watt et joule. » Même si ok pour la précédente remarque, cependant, il ne faut pas confondre Wh et W, qui correspondent d'une part à une puissance et d'autre part à une énergie. Aussi dans toute évaluation, je conseille vivement d'utiliser d'abord d'utiliser des unités en W et leur suite, puis, au besoin de les transformer en Wh.
26;éolienne;« L'abréviation de kilomètre est « km » avec un k minuscule, autrement ça voudrait dire kelvin-mètre. » Tout à fait ok, ici.
27;éolienne;"« Au fait, d'où sortent tes chiffres sur la consommation française et ta puissance au kilomètre carré ? Et surtout, je comprends mal le but de ton message : que veux-tu illustrer exactement ? » MW / Km2 fournie par une femer d'éolienne est donnée dans les ouvrages de référence, ainsi que sur les sites concernés. Energie électrique max. consommée en 2005, en février = 82 000 MW => L'on peut estimer la puissance fournie et donc potentiellement celle disponible ensuite sur tout un territoire ... — Le message qui précède, non signé, a été déposé par l'IP 129.184.84.11 (discuter), le 7 août 2007 à 17:18
J'apprécierais si tu pouvais ne pas éditer dans mes commentaires comme tu l'as fait ici, ça rend les discussions pour le moins difficiles à suivre. J'apprécierais encore plus particulièrement que tu ne modifies pas mes commentaires. Signer tes propres commentaires serait également un plus. Il s'agit ici de l'étiquette la plus élémentaire. J'ai perdu plus de temps à corriger la présentation de tes messages qu'à taper les miens ce qui pourrait expliquer ma mauvaise humeur actuelle.
« il ne faut pas confondre Wh et W, qui correspondent d'une part à une puissance et d'autre part à une énergie » : en l'occurrence c'est l'inverse : le Watt est une unité de puissance, le Watt-heure une unité d'énergie.
« je conseille vivement d'utiliser d'abord d'utiliser des unités en W et leur suite, puis, au besoin de les transformer en Wh » : de transformer une unité de puissance en une unité d'énergie ? Et que veut dire « et leur suite » ?
« MW / Km2 fournie par une femer d'éolienne est donnée dans les ouvrages de référence, ainsi que sur les sites concernés » Mouais... jolie façon de détourner le but de ma question et de donner l'illusion de répondre à une question sans y répondre. Je vais donc être plus pointilleux : quelle ferme ? quels ouvrages de référence ? quels sites concernés ? Nota : pour la deuxième fois, l'abréviation du préfixe « kilo » s'écrit en minuscules.
« Energie électrique max. consommée en 2005, en février = 82 000 MW » Hein ??? Le mégawatt est une unité de puissance et pas d'énergie donc le chiffre en lui-même ne veut rien dire. Et la façon dont tu donnes ce chiffre est pour le moins suspecte : s'agit-il du seul mois de février 2005 ? Où as-tu trouvé ce chiffre ? D'après le ministère des Finances et de l'Emploi, la production d'énergie électrique totale pour la France pour l'année 2006 était de 575 TWh (ce qui requiert une puissance d'environ 66 GW). --Sixsous 話 7 août 2007 à 19:22 (CEST)[répondre]"
28;éolienne;J'apprécierais si tu pouvais ne pas éditer dans mes commentaires comme tu l'as fait ici, ça rend les discussions pour le moins difficiles à suivre. J'apprécierais encore plus particulièrement que tu ne modifies pas mes commentaires. Signer tes propres commentaires serait également un plus. Il s'agit ici de l'étiquette la plus élémentaire. J'ai perdu plus de temps à corriger la présentation de tes messages qu'à taper les miens ce qui pourrait expliquer ma mauvaise humeur actuelle.
29;éolienne;« il ne faut pas confondre Wh et W, qui correspondent d'une part à une puissance et d'autre part à une énergie » : en l'occurrence c'est l'inverse : le Watt est une unité de puissance, le Watt-heure une unité d'énergie.
30;éolienne;« je conseille vivement d'utiliser d'abord d'utiliser des unités en W et leur suite, puis, au besoin de les transformer en Wh » : de transformer une unité de puissance en une unité d'énergie ? Et que veut dire « et leur suite » ?
31;éolienne;« MW / Km2 fournie par une femer d'éolienne est donnée dans les ouvrages de référence, ainsi que sur les sites concernés » Mouais... jolie façon de détourner le but de ma question et de donner l'illusion de répondre à une question sans y répondre. Je vais donc être plus pointilleux : quelle ferme ? quels ouvrages de référence ? quels sites concernés ? Nota : pour la deuxième fois, l'abréviation du préfixe « kilo » s'écrit en minuscules.
32;éolienne;« Energie électrique max. consommée en 2005, en février = 82 000 MW » Hein ??? Le mégawatt est une unité de puissance et pas d'énergie donc le chiffre en lui-même ne veut rien dire. Et la façon dont tu donnes ce chiffre est pour le moins suspecte : s'agit-il du seul mois de février 2005 ? Où as-tu trouvé ce chiffre ? D'après le ministère des Finances et de l'Emploi, la production d'énergie électrique totale pour la France pour l'année 2006 était de 575 TWh (ce qui requiert une puissance d'environ 66 GW). --Sixsous 話 7 août 2007 à 19:22 (CEST)[répondre]
33;éolienne;il faut rajouter un facteur important.
34;éolienne;l’énergie du vent récupérer par la première éolienne, n'est plus disponible pour une éolienne situé juste derrière.
35;éolienne;en considérant une efficacité maximal de 60 % sur chaque éolienne, la première a à sa disposition 100% de l’énergie du vent, la suivante n'a que 40%, la troisième n'a que 16%, la quatrième 6% etc ...
36;éolienne;si le territoire (ou la zone ventée) est remplie d'éolienne se phénomène est prépondérant et fait chuter drastiquement le facteur de charge.
37;éolienne;c'est pour çà que les éoliennes sont disposées frontalement au vent (dominant) et le moins possible à la queue leu-leu.
38;éolienne;cdt Erwan1972 (d) 4 novembre 2011 à 19:59 (CET)[répondre]
39;éolienne;"Rép. rapide (sans en être le spécialiste) : il s'agit de génératrices asynchrones qui tourne à une vitesse relative un peu plus grande que celle de la fréquence du réseau ; même principe que les génératrices du barrage de la Rance (cf. les cours de machines asynchrones, en général en terminale (ex. F3) mais plutôt en école d'ing. électrotech.)"
40;éolienne;"Rép. rapide (sans en être le spécialiste) : Normalement déconnectée ; mais il se peut que les machines soit connectées, et momentanément en mode moteur asynchrone ; ce qu'un expert de ces systèmes confirmera ou infirmera."
41;éolienne;Rép. rapide (toujours sans être le spécialiste) : il est probable que le topo soit assez difficile à rendre facile pour nous tous. Il arrive qu'il y ait nécessité de métier.
42;éolienne;Rép. rapide toujours : désolé de donner des issues si vagues.
43;éolienne;"Une réponse que j'ai eu sur une autre page, si cela peut inspirer quelqu'un de compétent dans le domaine...
Une question que je me suis toujours posé à propos des éoliennes:"
44;éolienne;"Une réponse que j'ai eu sur une autre page, si cela peut inspirer quelqu'un de compétent dans le domaine...
Une question que je me suis toujours posé à propos des éoliennes:"
45;éolienne;Une question que je me suis toujours posé à propos des éoliennes:
46;éolienne;- comment avec les variations de vents garantit-on que la fréquence du courant injecté vaut 50Hz (ou 60Hz)?
47;éolienne;- comment avec les variations de vents garantit-on que la fréquence du courant injecté vaut 50Hz (ou 60Hz)?
48;éolienne;- comment avec les variations de vents garantit-on que la fréquence du courant injecté vaut 50Hz (ou 60Hz)?
49;éolienne;- déconnecte-t-on du réseau électrique les éoliennes quand il n'y a pas de vent (pourtant on en voit tourner alors qu'il n'y a pas de vent)?
50;éolienne;- déconnecte-t-on du réseau électrique les éoliennes quand il n'y a pas de vent (pourtant on en voit tourner alors qu'il n'y a pas de vent)?
51;éolienne;- déconnecte-t-on du réseau électrique les éoliennes quand il n'y a pas de vent (pourtant on en voit tourner alors qu'il n'y a pas de vent)?
52;éolienne;Bref, si quelqu'un se s'en de faire un petit topo sur le côté électrique de la chose (dans l'article Éolienne), je lui en serait reconnaissant. Skiff 4 septembre 2007 à 23:19 (CEST)
53;éolienne;Bref, si quelqu'un se s'en de faire un petit topo sur le côté électrique de la chose (dans l'article Éolienne), je lui en serait reconnaissant. Skiff 4 septembre 2007 à 23:19 (CEST)
54;éolienne;Bref, si quelqu'un se s'en de faire un petit topo sur le côté électrique de la chose (dans l'article Éolienne), je lui en serait reconnaissant. Skiff 4 septembre 2007 à 23:19 (CEST)
55;éolienne;"Pour assurer une fréquence fixe, il y a, en gros, trois solutions:
pour une éolienne avec un machine asynchrone,"
56;éolienne;"Pour assurer une fréquence fixe, il y a, en gros, trois solutions:
pour une éolienne avec un machine asynchrone,"
57;éolienne;Pour assurer une fréquence fixe, il y a, en gros, trois solutions:
58;éolienne;pour une éolienne avec un machine asynchrone,
59;éolienne;"réponse exacte ici, bas de page  : ce sont des prof., dont CEA, CNRS, ainsi que de fac. et d'écoles d'ing. : Les domaines de fonctionnement de la Machine asynchrone. Non seulement on en démontre la formule mathématique, mais en plus, l'on y trouve le mode de fonctionnement en génératrice ; procédé utilisé il y a déjà plus d'un siècle  info. déjà donnée en bas de cette page par ailleur. Bonne lecture.
Amusant ce lien : voir Machine asynchrone , Daniel*D 6 janvier 2009 à 18:58 (CET)[répondre]
on peut utiliser une cascade hypersynchrone. La cascade hypersynchrone reprend le principe de la Cascade hyposynchrone mais avec une vitesse de rotation du rotor supérieur a celle de synchronisme. Avec de tels dispositifs, on joue sur les courants injectés au rotors pour avoir une fréquence statorique de 50 ou 60Hz.
Pour une génératrice de technologie quelconque, on peut redresser la tension débitée par la génératrice afin d'obtenir une tension continue puis l'onduler pour avoir une fréquence fixe.
On peut aussi relier directement le générateur au réseau, par contre cela impose de faire tourner l'éolienne a vitesse fixe. Cela est possible en jouant sur l'angle des pales. Cette technique n'est pas terrible coté recup d'énergie car en dessous d'une certaine vitesse de vent, l'éolienne ne tourner pas et au dessus de cette vitesse on en récupère pas toute l'énergie. Par contre, l'éolienne est super économique a produire. A vu de nez, ce genre de technique n'est appliquable qu'avec des machine asynchrone (a vérifier, mais je n'ai pas le temps la).
Oui, on déconnecte les éolienne si elle ne peuvent tourner. D'ailleurs, en ce moment, on déconnecte les éolienne au moindre problème car elle ne servent pas à réguler le réseau.
Le fait qu'il n'y ai pas de vent au sol, ne veut pas dire qu'il n'y a pas de vent a 20m de haut.
Pour les articles sur les éoliennes: cela sera sans moi: je me suis juré de ne plus jamais contribuer sur les articles liés a l'éolienne après m'être mangé le loby éolien de plein fouet une fois ou deux. De plus, j'ai 2/3 articles sur le feux auquel je n'ai pas touchés depuis 2/3 mois et que j'aimerais bien finir. Yves-Laurent 5 septembre 2007 à 01:09 (CEST)
Merci pour les informations. Je n'avais envisagé que la 2eme possibilité. Un mécanicien comme moi aurait quand même du penser au réglage du réglage du pas de l'hélice...
Je trouve dommage que tu ne veuilles plus toucher aux articles éoliens, mais c'est ton choix. Merci encore, Yves-Laurent. Skiff 5 septembre 2007 à 19:58 (CEST)
je rajouterai qu'on les déconnecte également lorsqu'il y a trop de vent : à la manière des grues de chantier on les met ""en drapeau"", toujours face au vent et le pas au minimum. Sinon +1 pour Yves-Laurent a l'assaut des articles liés à l'éolienne ;) --Zedh msg 5 septembre 2007 à 21:06 (CEST)"
60;éolienne;"réponse exacte ici, bas de page  : ce sont des prof., dont CEA, CNRS, ainsi que de fac. et d'écoles d'ing. : Les domaines de fonctionnement de la Machine asynchrone. Non seulement on en démontre la formule mathématique, mais en plus, l'on y trouve le mode de fonctionnement en génératrice ; procédé utilisé il y a déjà plus d'un siècle  info. déjà donnée en bas de cette page par ailleur. Bonne lecture.
Amusant ce lien : voir Machine asynchrone , Daniel*D 6 janvier 2009 à 18:58 (CET)[répondre]
on peut utiliser une cascade hypersynchrone. La cascade hypersynchrone reprend le principe de la Cascade hyposynchrone mais avec une vitesse de rotation du rotor supérieur a celle de synchronisme. Avec de tels dispositifs, on joue sur les courants injectés au rotors pour avoir une fréquence statorique de 50 ou 60Hz.
Pour une génératrice de technologie quelconque, on peut redresser la tension débitée par la génératrice afin d'obtenir une tension continue puis l'onduler pour avoir une fréquence fixe.
On peut aussi relier directement le générateur au réseau, par contre cela impose de faire tourner l'éolienne a vitesse fixe. Cela est possible en jouant sur l'angle des pales. Cette technique n'est pas terrible coté recup d'énergie car en dessous d'une certaine vitesse de vent, l'éolienne ne tourner pas et au dessus de cette vitesse on en récupère pas toute l'énergie. Par contre, l'éolienne est super économique a produire. A vu de nez, ce genre de technique n'est appliquable qu'avec des machine asynchrone (a vérifier, mais je n'ai pas le temps la).
Oui, on déconnecte les éolienne si elle ne peuvent tourner. D'ailleurs, en ce moment, on déconnecte les éolienne au moindre problème car elle ne servent pas à réguler le réseau.
Le fait qu'il n'y ai pas de vent au sol, ne veut pas dire qu'il n'y a pas de vent a 20m de haut.
Pour les articles sur les éoliennes: cela sera sans moi: je me suis juré de ne plus jamais contribuer sur les articles liés a l'éolienne après m'être mangé le loby éolien de plein fouet une fois ou deux. De plus, j'ai 2/3 articles sur le feux auquel je n'ai pas touchés depuis 2/3 mois et que j'aimerais bien finir. Yves-Laurent 5 septembre 2007 à 01:09 (CEST)
Merci pour les informations. Je n'avais envisagé que la 2eme possibilité. Un mécanicien comme moi aurait quand même du penser au réglage du réglage du pas de l'hélice...
Je trouve dommage que tu ne veuilles plus toucher aux articles éoliens, mais c'est ton choix. Merci encore, Yves-Laurent. Skiff 5 septembre 2007 à 19:58 (CEST)
je rajouterai qu'on les déconnecte également lorsqu'il y a trop de vent : à la manière des grues de chantier on les met ""en drapeau"", toujours face au vent et le pas au minimum. Sinon +1 pour Yves-Laurent a l'assaut des articles liés à l'éolienne ;) --Zedh msg 5 septembre 2007 à 21:06 (CEST)"
61;éolienne;"réponse exacte ici, bas de page  : ce sont des prof., dont CEA, CNRS, ainsi que de fac. et d'écoles d'ing. : Les domaines de fonctionnement de la Machine asynchrone. Non seulement on en démontre la formule mathématique, mais en plus, l'on y trouve le mode de fonctionnement en génératrice ; procédé utilisé il y a déjà plus d'un siècle  info. déjà donnée en bas de cette page par ailleur. Bonne lecture.
Amusant ce lien : voir Machine asynchrone , Daniel*D 6 janvier 2009 à 18:58 (CET)[répondre]"
62;éolienne;"réponse exacte ici, bas de page  : ce sont des prof., dont CEA, CNRS, ainsi que de fac. et d'écoles d'ing. : Les domaines de fonctionnement de la Machine asynchrone. Non seulement on en démontre la formule mathématique, mais en plus, l'on y trouve le mode de fonctionnement en génératrice ; procédé utilisé il y a déjà plus d'un siècle  info. déjà donnée en bas de cette page par ailleur. Bonne lecture.
Amusant ce lien : voir Machine asynchrone , Daniel*D 6 janvier 2009 à 18:58 (CET)[répondre]"
63;éolienne;Amusant ce lien : voir Machine asynchrone , Daniel*D 6 janvier 2009 à 18:58 (CET)[répondre]
64;éolienne;on peut utiliser une cascade hypersynchrone. La cascade hypersynchrone reprend le principe de la Cascade hyposynchrone mais avec une vitesse de rotation du rotor supérieur a celle de synchronisme. Avec de tels dispositifs, on joue sur les courants injectés au rotors pour avoir une fréquence statorique de 50 ou 60Hz.
65;éolienne;Pour une génératrice de technologie quelconque, on peut redresser la tension débitée par la génératrice afin d'obtenir une tension continue puis l'onduler pour avoir une fréquence fixe.
66;éolienne;On peut aussi relier directement le générateur au réseau, par contre cela impose de faire tourner l'éolienne a vitesse fixe. Cela est possible en jouant sur l'angle des pales. Cette technique n'est pas terrible coté recup d'énergie car en dessous d'une certaine vitesse de vent, l'éolienne ne tourner pas et au dessus de cette vitesse on en récupère pas toute l'énergie. Par contre, l'éolienne est super économique a produire. A vu de nez, ce genre de technique n'est appliquable qu'avec des machine asynchrone (a vérifier, mais je n'ai pas le temps la).
67;éolienne;Oui, on déconnecte les éolienne si elle ne peuvent tourner. D'ailleurs, en ce moment, on déconnecte les éolienne au moindre problème car elle ne servent pas à réguler le réseau.
68;éolienne;Le fait qu'il n'y ai pas de vent au sol, ne veut pas dire qu'il n'y a pas de vent a 20m de haut.
